Jacob Salazar, jacob.salazar@uwaterloo.ca, quartzumbrellabat76
Kevin Gibson, kevin.gibson@uwaterloo.ca, valleydewice63
Mary Jimenez, mary.jimenez@uwaterloo.ca, dewflowerumbrella33
Anthony Mcdonald, anthony.mcdonald@uwaterloo.ca, sharklemonmango45
Keith West, keith.west@uwaterloo.ca, sharkbananapenguin40
Matthew Miller, matthew.miller@uwaterloo.ca, jellyfishowlapple62
Ann Campbell, ann.campbell@uwaterloo.ca, grassjunglelake30
Beverly Henry, beverly.henry@uwaterloo.ca, vanillalemonfig50
Aaron Herrera, aaron.herrera@uwaterloo.ca, umbrellaorangelake85
Diana Romero, diana.romero@uwaterloo.ca, figzephyrearth59
Kayla Sullivan, kayla.sullivan1@uwaterloo.ca, figiguanaraspberry52
Keith Stone, keith.stone@uwaterloo.ca, peakcatxylophone53
Billy Olson, billy.olson@uwaterloo.ca, appleraspberrynewt77
Stephen Crawford, stephen.crawford@uwaterloo.ca, tangerinedatetree49
Thomas Schmidt, thomas.schmidt@uwaterloo.ca, goatnightice29
Megan Nichols, megan.nichols@uwaterloo.ca, xiguayaklion17
Judy Rogers, judy.rogers@uwaterloo.ca, tangerinehorseorange43
Madison Ward, madison.ward@uwaterloo.ca, tangerinequincekiwi50
Sandra Ross, sandra.ross@uwaterloo.ca, autumniguanayellow91
Linda Henry, linda.henry@uwaterloo.ca, kettletangerinesand23
Raymond Burns, raymond.burns@uwaterloo.ca, turtleyawnbanana68
Edward Garcia, edward.garcia@uwaterloo.ca, honeydewyellowkangaroo81
Tyler Jones, tyler.jones@uwaterloo.ca, strawberryzucchinitangerine16
Ryan Nelson, ryan.nelson@uwaterloo.ca, datesandowl82
Harry Sanders, harry.sanders@uwaterloo.ca, vulturestrawberrygoat66
Ashley Stewart, ashley.stewart@uwaterloo.ca, uglikangaroostrawberry75
Maria Robinson, maria.robinson@uwaterloo.ca, lemonrabbitquince78
Rose Ellis, rose.ellis@uwaterloo.ca, owlbatfrog31
Ryan Lewis, ryan.lewis@uwaterloo.ca, rabbitowlyawn54
Gabriel Hernandez, gabriel.hernandez@uwaterloo.ca, owlcatbreeze13
Richard Silva, richard.silva@uwaterloo.ca, datequartzraspberry88
Aaron Brown, aaron.brown@uwaterloo.ca, uglinectarinestrawberry99
Eugene Moore, eugene.moore@uwaterloo.ca, quincecherryquail92
Kathleen Coleman, kathleen.coleman@uwaterloo.ca, dogriverzebra43
Arthur Webb, arthur.webb@uwaterloo.ca, kettlesharkvalley62
Alexis Powell, alexis.powell@uwaterloo.ca, jungleicekangaroo88
Justin Sullivan, justin.sullivan@uwaterloo.ca, lemonkettlepapaya42
Donna Miller, donna.miller@uwaterloo.ca, mangowindkettle99
Mary Smith, mary.smith@uwaterloo.ca, papayavanillaiguana84
Brian Vargas, brian.vargas@uwaterloo.ca, raspberrystrawberryquince61
Gary Wallace, gary.wallace@uwaterloo.ca, sharkpeakdate73
Denise Collins, denise.collins@uwaterloo.ca, appleuglilion62
Randy Graham, randy.graham@uwaterloo.ca, peakiguanayak93
Katherine Hughes, katherine.hughes@uwaterloo.ca, dateicequartz76
Beverly Carter, beverly.carter@uwaterloo.ca, nightorangehorse49
Eric Sanchez, eric.sanchez@uwaterloo.ca, penguinwatermelongrape58
Abigail Taylor, abigail.taylor@uwaterloo.ca, urchinvalleywhale23
Kathleen Mendez, kathleen.mendez@uwaterloo.ca, papayajellyfishcloud89
Cheryl Patterson, cheryl.patterson@uwaterloo.ca, cloudfigkangaroo57
Gloria Guzman, gloria.guzman@uwaterloo.ca, hillcloudjellyfish77
Joe King, joe.king@uwaterloo.ca, zephyrbananaumbrella63
Adam Castro, adam.castro@uwaterloo.ca, kettlehorsedew14
Betty Harrison, betty.harrison@uwaterloo.ca, cherryrabbitautumn12
Laura Boyd, laura.boyd@uwaterloo.ca, cloudnightpeak73
Alice Allen, alice.allen@uwaterloo.ca, cloudelderberryumbrella66
Melissa Johnson, melissa.johnson@uwaterloo.ca, quartzpeakzephyr87
Andrea Ramirez, andrea.ramirez@uwaterloo.ca, treeowlbreeze41
Frances Jones, frances.jones@uwaterloo.ca, cherryzebrawind98
Michelle Ramos, michelle.ramos@uwaterloo.ca, lionpapayaflower50
Olivia Cooper, olivia.cooper@uwaterloo.ca, xiguaowlzebra36
Joseph Wright, joseph.wright@uwaterloo.ca, sharktangerinelion34
Cheryl Gonzales, cheryl.gonzales@uwaterloo.ca, batgrapeearth80
Harold Jenkins, harold.jenkins@uwaterloo.ca, watermeloncloudzebra95
Emma Walker, emma.walker@uwaterloo.ca, xeruselderberryflower40
Peter Flores, peter.flores@uwaterloo.ca, urchincatowl69
Linda Wilson, linda.wilson@uwaterloo.ca, cloudliontree21
Ralph Phillips, ralph.phillips@uwaterloo.ca, hillcatsand34
Doris Wilson, doris.wilson@uwaterloo.ca, papayanectarinexerus11
Russell Herrera, russell.herrera@uwaterloo.ca, treefigumbrella78
Jacob Campbell, jacob.campbell@uwaterloo.ca, treeorangegoat53
Julia Martin, julia.martin@uwaterloo.ca, elderberryearthkiwi13
Amy Clark, amy.clark@uwaterloo.ca, cherryorangeowl38
Noah Mendoza, noah.mendoza@uwaterloo.ca, windquinceurchin75
Catherine Herrera, catherine.herrera@uwaterloo.ca, junglepenguinice81
Olivia Meyer, olivia.meyer@uwaterloo.ca, quartzjellyfishdate92
Cheryl Mendoza, cheryl.mendoza@uwaterloo.ca, kangaroourchinearth55
Timothy Bennett, timothy.bennett@uwaterloo.ca, newtquartzxylophone36
Bruce Fernandez, bruce.fernandez@uwaterloo.ca, raspberrykiwivulture28
Harold Stephens, harold.stephens@uwaterloo.ca, raspberrynightpenguin72
Philip Aguilar, philip.aguilar@uwaterloo.ca, riverapplegrass83
Nicholas Burns, nicholas.burns@uwaterloo.ca, icewhaleyellow13
Samantha Kelly, samantha.kelly@uwaterloo.ca, dateyellowkiwi87
John Ford, john.ford@uwaterloo.ca, papayaflowerpapaya89
Aaron Butler, aaron.butler@uwaterloo.ca, uglibreezewatermelon22
Theresa Garcia, theresa.garcia@uwaterloo.ca, icepenguinorange95
Deborah Miller, deborah.miller@uwaterloo.ca, quartzbananajungle81
Kimberly Hunt, kimberly.hunt@uwaterloo.ca, flowerflowervulture67
Ruth Scott, ruth.scott@uwaterloo.ca, xiguabanananight54
Mary Griffin, mary.griffin@uwaterloo.ca, windzucchiniugli19
Martha Ward, martha.ward@uwaterloo.ca, nightkettlewhale98
Dennis Hughes, dennis.hughes@uwaterloo.ca, hillorangeraspberry81
Martha Mendoza, martha.mendoza@uwaterloo.ca, zebraearthdate13
Cynthia Black, cynthia.black@uwaterloo.ca, jellyfishdewumbrella35
Deborah Martinez, deborah.martinez@uwaterloo.ca, jellyfishzebraiguana74
Brittany Shaw, brittany.shaw@uwaterloo.ca, lakelaketangerine34
Stanley West, stanley.west@uwaterloo.ca, treecatowl10
Sharon Ramirez, sharon.ramirez@uwaterloo.ca, raspberrybananapeak88
Jeremy Henry, jeremy.henry@uwaterloo.ca, catowlmountain25
Karen Dixon, karen.dixon@uwaterloo.ca, windlemondew41
Jason Rogers, jason.rogers1@uwaterloo.ca, dognewtcloud12
Jose Nelson, jose.nelson@uwaterloo.ca, jellyfishapplewatermelon47
John Wagner, john.wagner@uwaterloo.ca, catlionwind12
Patricia Medina, patricia.medina@uwaterloo.ca, bathillkettle18
Rebecca Simmons, rebecca.simmons@uwaterloo.ca, raspberrydognectarine80
Charles Sanchez, charles.sanchez@uwaterloo.ca, oceanriverelephant53
Charles Chavez, charles.chavez@uwaterloo.ca, kiwihoneydewiguana97
Victoria Stephens, victoria.stephens@uwaterloo.ca, monkeyorangekiwi81
Anthony Myers, anthony.myers@uwaterloo.ca, rabbitpapayaiguana50
Jose Patel, jose.patel@uwaterloo.ca, raspberryumbrellaxigua62
Andrew Sullivan, andrew.sullivan@uwaterloo.ca, yellowvalleynectarine54
Charlotte Brooks, charlotte.brooks@uwaterloo.ca, kangarooumbrellacloud17
Lori Powell, lori.powell@uwaterloo.ca, newtearthyellow69
Kelly Sanders, kelly.sanders@uwaterloo.ca, watermelonvanillabat82
Henry Porter, henry.porter@uwaterloo.ca, owljellyfishsand99
Anna Williams, anna.williams1@uwaterloo.ca, xiguanighthorse12
John Washington, john.washington@uwaterloo.ca, zebrayawnhorse71
Stephanie Griffin, stephanie.griffin@uwaterloo.ca, autumnfigwatermelon86
Brian Garza, brian.garza@uwaterloo.ca, mountainzucchiniice53
Margaret Herrera, margaret.herrera@uwaterloo.ca, frogliontangerine36
David Jimenez, david.jimenez@uwaterloo.ca, quartzkangaroogoat46
Jennifer Crawford, jennifer.crawford@uwaterloo.ca, windgrapenectarine77
Noah Green, noah.green@uwaterloo.ca, bananazebrawind48
Shirley Gibson, shirley.gibson@uwaterloo.ca, urchinvulturejungle10
Eric Ferguson, eric.ferguson@uwaterloo.ca, yawnlemonquail43
Willie Morales, willie.morales@uwaterloo.ca, riversandpapaya73
Brittany Jordan, brittany.jordan@uwaterloo.ca, vulturecherrydog21
Philip Mills, philip.mills@uwaterloo.ca, goatkangaroobanana27
David Peterson, david.peterson@uwaterloo.ca, grasswhalenight42
Brandon Simmons, brandon.simmons@uwaterloo.ca, lakevanillacat72
Matthew Peterson, matthew.peterson@uwaterloo.ca, whalebreezeorange34
Christina Powell, christina.powell@uwaterloo.ca, treeflowervulture15
Adam Perry, adam.perry@uwaterloo.ca, quincetreerabbit34
Eric Bennett, eric.bennett@uwaterloo.ca, sandhillnectarine17
Julie Sullivan, julie.sullivan@uwaterloo.ca, tangerinekangarooowl47
Ann Gonzales, ann.gonzales@uwaterloo.ca, bananacatxigua22
Ann Perry, ann.perry@uwaterloo.ca, oceanvalleyxigua94
Danielle Brown, danielle.brown@uwaterloo.ca, strawberryxiguaelephant67
Isabella Evans, isabella.evans@uwaterloo.ca, lioncherryvalley56
Michelle Wood, michelle.wood@uwaterloo.ca, frograspberrydate74
Henry Moore, henry.moore1@uwaterloo.ca, windgrapeautumn64
Jordan Cook, jordan.cook@uwaterloo.ca, sharkdogyak82
Daniel Lewis, daniel.lewis@uwaterloo.ca, bananakangarooearth92
Barbara Harrison, barbara.harrison@uwaterloo.ca, sharkappleyellow35
Jean Scott, jean.scott@uwaterloo.ca, nectarinebreezehoneydew92
Angela Hughes, angela.hughes@uwaterloo.ca, monkeyantelderberry63
William Woods, william.woods@uwaterloo.ca, earthpapayaturtle56
Karen Hayes, karen.hayes@uwaterloo.ca, penguinhorsepenguin76
Denise Sanchez, denise.sanchez@uwaterloo.ca, vulturenewtgrape20
Justin Green, justin.green@uwaterloo.ca, vanillacherrymango53
Gregory Long, gregory.long@uwaterloo.ca, grassvalleysand31
David Woods, david.woods@uwaterloo.ca, quailfroglake34
Sara Rose, sara.rose@uwaterloo.ca, penguinkiwiocean91
Linda Palmer, linda.palmer@uwaterloo.ca, xeruspenguinxylophone88
Steven Ellis, steven.ellis@uwaterloo.ca, monkeyapplexylophone98
Dorothy Stevens, dorothy.stevens@uwaterloo.ca, xeruskiwitangerine65
Lauren Gonzales, lauren.gonzales@uwaterloo.ca, mangoflowerstrawberry91
Jerry Gomez, jerry.gomez@uwaterloo.ca, bananawatermelonstrawberry40
Kyle Wilson, kyle.wilson@uwaterloo.ca, orangeapplebreeze64
Raymond Young, raymond.young@uwaterloo.ca, windumbrellaelderberry10
Lauren Allen, lauren.allen1@uwaterloo.ca, valleywindhoneydew53
Carol Olson, carol.olson@uwaterloo.ca, autumnuglipenguin40
Frank Moreno, frank.moreno@uwaterloo.ca, kangaroozephyrbat94
Susan Hunter, susan.hunter@uwaterloo.ca, vanillalionpeak36
Edward Bryant, edward.bryant@uwaterloo.ca, figmangoturtle51
Isabella Kim, isabella.kim@uwaterloo.ca, bananaowlice34
Scott Vasquez, scott.vasquez@uwaterloo.ca, orangetangerinepapaya72
Eugene Campbell, eugene.campbell@uwaterloo.ca, kangaroostrawberrykangaroo67
Amanda Morgan, amanda.morgan@uwaterloo.ca, elephantquaildew76
Roger Carter, roger.carter@uwaterloo.ca, flowermountainwhale63
Jordan Vargas, jordan.vargas@uwaterloo.ca, earthmonkeymango59
Rachel King, rachel.king@uwaterloo.ca, elephantcherrydate96
Ashley Carter, ashley.carter@uwaterloo.ca, cherrysharkvanilla53
Stephanie Parker, stephanie.parker@uwaterloo.ca, yakowlvalley49
Deborah Salazar, deborah.salazar@uwaterloo.ca, dogdewflower69
Marilyn Ramos, marilyn.ramos@uwaterloo.ca, yawnrabbitcherry40
Janice Thompson, janice.thompson@uwaterloo.ca, kangaroobatautumn99
Arthur Lewis, arthur.lewis@uwaterloo.ca, kettleyawnugli90
Tyler Allen, tyler.allen@uwaterloo.ca, urchinearthpeak20
Sara Baker, sara.baker@uwaterloo.ca, applemountainfrog48
Kenneth Marshall, kenneth.marshall@uwaterloo.ca, strawberrydatemonkey82
Jerry Bell, jerry.bell@uwaterloo.ca, windbatelderberry61
Patrick Owens, patrick.owens@uwaterloo.ca, quartzzephyrquince96
Leonard James, leonard.james@uwaterloo.ca, mountainnightbanana74
Kayla Stephens, kayla.stephens@uwaterloo.ca, monkeylakenectarine17
Jacqueline Hunter, jacqueline.hunter@uwaterloo.ca, dewpeakcat93
Jean Aguilar, jean.aguilar@uwaterloo.ca, sandquincehorse37
Bobby Weaver, bobby.weaver@uwaterloo.ca, oceancattree52
Dorothy Porter, dorothy.porter@uwaterloo.ca, goatowltree46
Olivia Guzman, olivia.guzman@uwaterloo.ca, batgoatbat22
Amy Stone, amy.stone@uwaterloo.ca, elephantgrapeflower76
Marilyn Perez, marilyn.perez@uwaterloo.ca, uglilemonorange90
Nancy Vasquez, nancy.vasquez@uwaterloo.ca, rabbitkettleyak51
Amanda Miller, amanda.miller@uwaterloo.ca, kangaroonewtbat73
Madison Garcia, madison.garcia@uwaterloo.ca, sandjellyfishbanana90
Eric Palmer, eric.palmer@uwaterloo.ca, xerusxylophoneautumn21
Billy Gibson, billy.gibson@uwaterloo.ca, autumnvanillanight86
Victoria Patel, victoria.patel@uwaterloo.ca, raspberryhillumbrella39
Philip Wright, philip.wright@uwaterloo.ca, iguanadewflower11
Carol Mendoza, carol.mendoza@uwaterloo.ca, kiwilemonnectarine17
Margaret Diaz, margaret.diaz@uwaterloo.ca, yellownightgrass66
Benjamin Sanders, benjamin.sanders@uwaterloo.ca, sharkiguanalake31
Sharon Freeman, sharon.freeman@uwaterloo.ca, riverhorsekettle96
Ryan Nelson, ryan.nelson1@uwaterloo.ca, jellyfishrabbityak22
Doris Wallace, doris.wallace@uwaterloo.ca, lakevalleyapple70
Scott Howard, scott.howard@uwaterloo.ca, icegrapequail44
Philip Martinez, philip.martinez@uwaterloo.ca, goatowlmountain33
Jerry Gray, jerry.gray@uwaterloo.ca, cherrygrapeflower87
Sean Romero, sean.romero@uwaterloo.ca, cherrypenguinraspberry26
Kenneth Gray, kenneth.gray@uwaterloo.ca, urchintreeshark20
Paul Stephens, paul.stephens@uwaterloo.ca, catwhalegrass80
Brittany Henry, brittany.henry@uwaterloo.ca, jellyfishkiwiriver73
Randy Ramos, randy.ramos@uwaterloo.ca, yellowkangaroorabbit85
Jerry Coleman, jerry.coleman@uwaterloo.ca, penguinjungleiguana12
Laura Patterson, laura.patterson@uwaterloo.ca, flowernewtnewt18
Laura Wallace, laura.wallace@uwaterloo.ca, vanillanectarinelion26
Ruth Johnson, ruth.johnson1@uwaterloo.ca, lakemangojellyfish97
Kenneth Nichols, kenneth.nichols@uwaterloo.ca, elephantlionshark67
Frances Brooks, frances.brooks@uwaterloo.ca, nectarinegoathoneydew76
Isabella Bell, isabella.bell@uwaterloo.ca, quincezucchinixerus74
Austin Cook, austin.cook@uwaterloo.ca, flowerumbrellaurchin91
Vincent Snyder, vincent.snyder@uwaterloo.ca, oceanbananakiwi28
Dylan Salazar, dylan.salazar@uwaterloo.ca, lionwhaleelderberry12
Logan Gomez, logan.gomez@uwaterloo.ca, elderberrypapayalake64
Cynthia Bell, cynthia.bell@uwaterloo.ca, quailvultureyawn18
Mark Mendez, mark.mendez@uwaterloo.ca, oceanjunglenectarine65
Jean James, jean.james@uwaterloo.ca, applelionocean49
John Chen, john.chen@uwaterloo.ca, zebrajellyfishzephyr43
Adam Russell, adam.russell@uwaterloo.ca, owlantbanana24
Shirley Weaver, shirley.weaver@uwaterloo.ca, strawberryelephantugli72
Christina Mason, christina.mason@uwaterloo.ca, cherryxiguaapple71
Dylan Allen, dylan.allen@uwaterloo.ca, mountainzucchiniwatermelon97
Kelly Ward, kelly.ward@uwaterloo.ca, zucchinigoatpapaya50
Edward Powell, edward.powell@uwaterloo.ca, valleybreezemango57
Jack Simmons, jack.simmons@uwaterloo.ca, umbrellaturtlelake36
Alan Patel, alan.patel@uwaterloo.ca, elderberrysharkyawn99
Charlotte White, charlotte.white@uwaterloo.ca, zucchiniyellowfrog99
Christine Patel, christine.patel@uwaterloo.ca, goatzephyrbat97
Roger Brooks, roger.brooks@uwaterloo.ca, orangeraspberryrabbit36
Patrick Chen, patrick.chen@uwaterloo.ca, icehoneydewhorse24
Brittany Taylor, brittany.taylor@uwaterloo.ca, nectarineriverquince63
Betty Fernandez, betty.fernandez@uwaterloo.ca, lionquincerabbit42
Doris Rice, doris.rice@uwaterloo.ca, tangerinepenguincloud83
Gloria Herrera, gloria.herrera@uwaterloo.ca, monkeynectarinezucchini97
Louis Ross, louis.ross@uwaterloo.ca, frogelephantxigua66
Gary James, gary.james@uwaterloo.ca, nightmangoriver17
Melissa Mitchell, melissa.mitchell@uwaterloo.ca, quailicexylophone35
Christian Wagner, christian.wagner@uwaterloo.ca, bananasandlion23
Daniel Sullivan, daniel.sullivan@uwaterloo.ca, antdogfrog76
Joan Porter, joan.porter@uwaterloo.ca, grapezucchiniraspberry91
Sara Olson, sara.olson@uwaterloo.ca, tangerinepeakdew93
Keith Robertson, keith.robertson@uwaterloo.ca, lakequinceautumn27
Alexis Stone, alexis.stone@uwaterloo.ca, quailwindhorse59
Gary Watson, gary.watson@uwaterloo.ca, valleyzucchinikiwi82
Billy Hernandez, billy.hernandez@uwaterloo.ca, valleylemonvanilla92
Gloria Silva, gloria.silva@uwaterloo.ca, grassgoatkettle10
Eric Alvarez, eric.alvarez@uwaterloo.ca, xylophonevulturelion45
Nicole Rodriguez, nicole.rodriguez@uwaterloo.ca, xerusfigmonkey35
Stanley Ramos, stanley.ramos@uwaterloo.ca, breezehillraspberry33
Lori Adams, lori.adams@uwaterloo.ca, lakemangoyellow51
Jessica Morales, jessica.morales@uwaterloo.ca, mangoyellownectarine87
Gerald Wilson, gerald.wilson@uwaterloo.ca, goatzephyrvanilla80
Jerry Patel, jerry.patel@uwaterloo.ca, doglakeocean38
Barbara Sanchez, barbara.sanchez@uwaterloo.ca, breezedewxerus94
Harold Vasquez, harold.vasquez@uwaterloo.ca, owlicesand32
Mark Owens, mark.owens@uwaterloo.ca, honeydewnewturchin41
Helen Tucker, helen.tucker@uwaterloo.ca, lionhoneydewnewt37
William Palmer, william.palmer@uwaterloo.ca, grapeoceanautumn51
Henry Brown, henry.brown@uwaterloo.ca, urchinraspberrydate15
Diane Tucker, diane.tucker@uwaterloo.ca, batiguanadew97
Diane Rogers, diane.rogers@uwaterloo.ca, treexylophonebanana94
Stephen Fisher, stephen.fisher@uwaterloo.ca, cherrysharkcherry53
Juan Burns, juan.burns@uwaterloo.ca, flowercloudugli43
Megan Anderson, megan.anderson@uwaterloo.ca, lakeriverwatermelon58
Amber Olson, amber.olson@uwaterloo.ca, yellowhoneydewelephant40
Donna Simpson, donna.simpson1@uwaterloo.ca, hillwindnectarine42
Dennis Hicks, dennis.hicks@uwaterloo.ca, xylophonejellyfishxylophone38
Ashley Cook, ashley.cook@uwaterloo.ca, strawberrygoathill26
Kevin Rose, kevin.rose@uwaterloo.ca, uglikettlehill90
Joan Alexander, joan.alexander@uwaterloo.ca, jellyfishpeakfig42
Karen Taylor, karen.taylor@uwaterloo.ca, hillgrasscloud44
Billy Long, billy.long@uwaterloo.ca, raspberryliondog82
Sophia Baker, sophia.baker@uwaterloo.ca, monkeyrabbitnectarine77
Steven Alvarez, steven.alvarez@uwaterloo.ca, bananasharkant76
Gloria Davis, gloria.davis@uwaterloo.ca, dateuglirabbit35
Willie Hughes, willie.hughes@uwaterloo.ca, owlcloudbreeze56
Scott Murray, scott.murray@uwaterloo.ca, quincexerushoneydew14
Diana Mason, diana.mason@uwaterloo.ca, sharkwatermelonraspberry91
Albert James, albert.james@uwaterloo.ca, watermelonxiguaraspberry47
Betty Jenkins, betty.jenkins@uwaterloo.ca, owlcatautumn43
Kimberly Lopez, kimberly.lopez@uwaterloo.ca, turtlekettleugli86
Julie Patel, julie.patel@uwaterloo.ca, orangelionflower79
Catherine Garcia, catherine.garcia@uwaterloo.ca, grapeelderberryhoneydew15
Wayne Herrera, wayne.herrera@uwaterloo.ca, honeydewzephyrzebra24
Brandon Freeman, brandon.freeman@uwaterloo.ca, zebratangerinejungle86
Pamela Mitchell, pamela.mitchell@uwaterloo.ca, nightsandbreeze57
Thomas Holmes, thomas.holmes@uwaterloo.ca, goatjellyfishwind77
Dorothy Rose, dorothy.rose@uwaterloo.ca, baticenectarine91
Adam Morales, adam.morales@uwaterloo.ca, honeydeworangexerus46
Adam Burns, adam.burns@uwaterloo.ca, fighoneydewmonkey76
Dylan Castillo, dylan.castillo@uwaterloo.ca, appleiguanafrog10
Megan Richardson, megan.richardson@uwaterloo.ca, elephantsharkjellyfish46
Stephen Henderson, stephen.henderson@uwaterloo.ca, tangerinedateturtle65
Austin Peterson, austin.peterson@uwaterloo.ca, turtlezebrarabbit32
Bryan Gonzales, bryan.gonzales@uwaterloo.ca, zebrasharkiguana26
Anna Jenkins, anna.jenkins@uwaterloo.ca, batvalleyorange21
Kelly Palmer, kelly.palmer@uwaterloo.ca, goatdogcloud63
Christopher Garza, christopher.garza@uwaterloo.ca, yellowantstrawberry39
Christina Mcdonald, christina.mcdonald@uwaterloo.ca, monkeyhorseice14
Alan Carter, alan.carter@uwaterloo.ca, newtxiguahorse59
Sarah Marshall, sarah.marshall@uwaterloo.ca, vultureelephantlake28
Stanley Morris, stanley.morris@uwaterloo.ca, jellyfishvulturecherry64
Mary Torres, mary.torres@uwaterloo.ca, sharkkettlecherry13
Daniel Ross, daniel.ross@uwaterloo.ca, kettlewatermeloncherry85
Kyle Ward, kyle.ward@uwaterloo.ca, xiguaiceiguana22
Stanley Rice, stanley.rice@uwaterloo.ca, hillxylophonecat20
Olivia Shaw, olivia.shaw@uwaterloo.ca, mangograsspenguin28
George Long, george.long@uwaterloo.ca, sandquailstrawberry21
Debra Rivera, debra.rivera@uwaterloo.ca, dogsharkshark54
John Soto, john.soto@uwaterloo.ca, treezephyrlemon40
Ethan Sanchez, ethan.sanchez@uwaterloo.ca, yakxylophonepeak69
Isabella Stephens, isabella.stephens@uwaterloo.ca, quailgrapenewt72
Roger Thompson, roger.thompson1@uwaterloo.ca, lakevanillaurchin93
Joshua Moreno, joshua.moreno@uwaterloo.ca, peakiguanasand87
Lori Tucker, lori.tucker@uwaterloo.ca, turtlepeakquince28
Catherine Herrera, catherine.herrera1@uwaterloo.ca, hilldewmonkey18
Ashley Murray, ashley.murray@uwaterloo.ca, peakmountainkettle39
Donald Clark, donald.clark@uwaterloo.ca, yawnfrogwatermelon92
Alan Rogers, alan.rogers@uwaterloo.ca, frogquailwind57
George Russell, george.russell@uwaterloo.ca, autumnelderberrycherry30
Stephen Henderson, stephen.henderson1@uwaterloo.ca, treeiguanapeak38
Jacob Thomas, jacob.thomas@uwaterloo.ca, monkeybreezepapaya74
Carl Schmidt, carl.schmidt@uwaterloo.ca, oceanlionkangaroo82
Megan Shaw, megan.shaw@uwaterloo.ca, monkeygrasshoneydew13
